run_at_utc,week,agency_folder,agency_id,status,failure_stage,failure_reason,gold_row_count,extracted_row_count,row_count_match,title_match_rate,dollar_total_gold,dollar_total_extracted,dollar_pct_error,elapsed_seconds
20260521T1255Z,w1726,2026 04 22 - co.scott.mn.us_cip_2026-2035,co.scott.mn.us_cip_2026-2035,ok,,,133,30,no,0.233,372436004.0,140839416.0,0.6218,454.2
20260521T1302Z,w1726,2026 04 22 - fallriverma.org_cip_2027-2031,fallriverma.org_cip_2027-2031,ok,,,121,88,no,0.529,431761888.0,2219191585.0,4.1399,146.3
20260521T1305Z,w1726,2026 04 22 - grundyco.org_cip_2026-2030,grundyco.org_cip_2026-2030,ok,,,83,305,no,1.0,20801500.0,554429060.0,25.6533,91.1
20260521T1307Z,w1726,2026 04 22 - lcps.org_cip_2025-2030,lcps.org_cip_2025-2030,ok,,,26,15,no,0.731,78340.0,43140.0,0.4493,258.8
20260521T1311Z,w1726,2026 04 22 - leegov.com_dot_cip_2026-2035,leegov.com_dot_cip_2026-2035,ok,,,18,1,no,0.0,5870000.0,0.0,1.0,77.6
20260521T1312Z,w1726,2026 04 22 - lrd.usace.army.mil.nsh_cip_2026-2028,lrd.usace.army.mil.nsh_cip_2026-2028,ok,,,52,52,yes,0.0,755750000.0,753250002.5,0.0033,98.4
20260521T1314Z,w1726,2026 04 22 - portlandmaine.gov_cip_2026-2030,portlandmaine.gov_cip_2026-2030,ok,,,330,0,no,0.0,0.0,0,,250.8
20260521T1318Z,w1726,2026 04 22 - scwd.org_cip_2026-2030,scwd.org_cip_2026-2030,ok,,,82,111,no,0.402,343836342.0,493.0,1.0,117.8
20260521T1320Z,w1726,2026 04 22 - snco.us_cip_2026-2030,snco.us_cip_2026-2030,ok,,,69,5,no,0.072,0.0,8574500.0,,65.5
20260521T1321Z,w1726,2026 04 23 - ci.olympia.wa.us_cip_2026-2031,ci.olympia.wa.us_cip_2026-2031,failed,design," in __exit__
    self.gen.throw(value)
    ~~~~~~~~~~~~~~^^^^^^^
  File ""C:\Users\dave\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\httpx\_transports\default.py"", line 118, in map_httpcore_exceptions
    raise mapped_exc(message) from exc
httpx.ReadTimeout: The read operation timed out
",389,,,,,,,196.6
20260521T1325Z,w1726,2026 04 23 - ci.oshkosh.wi.us_cip_2026-2035,ci.oshkosh.wi.us_cip_2026-2035,ok,,,331,691,no,0.52,0.0,934223109.0,,152.8
