run_at_utc,week,agency_folder,agency_id,status,failure_stage,failure_reason,gold_row_count,extracted_row_count,zero_rows,row_count_match,title_match_rate,dollar_total_gold,dollar_total_extracted,dollar_pct_error,dollar_blowup,elapsed_seconds
20260522T0146Z,w2026,2026 03 03 - springhilltn.org_cip_2026-2026,springhilltn.org_cip_2026-2026,ok,,,59,156,no,no,0.492,13860761.0,197266955.12,13.232,no,393.9
20260522T0153Z,w2026,2026 03 10 - mlgw.com_cip_2026-2030,mlgw.com_cip_2026-2030,failed,timeout,Pipeline timed out after 900s,133,,,,,,,,,900.1
20260522T0208Z,w2026,2026 04 20 - bricktownship.net_cip_2026-2031,bricktownship.net_cip_2026-2031,ok,,,9,9,no,yes,1.0,55999999.0,0.0,1.0,no,92.5
20260522T0210Z,w2026,2026 04 30 - monroecounty.gov_cip_2027-2032_proposed,monroecounty.gov_cip_2027-2032_proposed,ok,,,169,0,yes,no,0.0,621886000.0,0,1.0,no,190.2
20260522T0213Z,w2026,2026 05 01 - plano.gov_cip_2026-2030,plano.gov_cip_2026-2030,ok,,,612,612,no,yes,0.871,2234116382.0,2207875407.45,0.0117,no,618.3
20260522T0223Z,w2026,2026 05 02 - scwa.com_cip_2027-2027,scwa.com_cip_2027-2027,ok,,,27,12,no,no,0.0,2432.0,278432574.0,114486.0781,no,89.1
20260522T0225Z,w2026,2026 05 07 - willcountyillinois.com_cip_2026-2030,willcountyillinois.com_cip_2026-2030,ok,,,40,101,no,no,0.025,50000.0,303266356.0,6064.3271,no,280.4
20260522T0229Z,w2026,2026 05 07 - woodstockva.gov _cip_2027-2031,woodstockva.gov _cip_2027-2031,ok,,,84,0,yes,no,0.0,102841960.0,0,1.0,no,92.6
20260522T0231Z,w2026,2026 05 07 - yakimatransit.org_tip_2026-2031,yakimatransit.org_tip_2026-2031,ok,,,32,31,no,yes,0.0,73705102.0,72228102.0,0.02,no,137.5
20260522T0233Z,w2026,2026 05 08 - wauwatosa.net_cip_2026-2030,wauwatosa.net_cip_2026-2030,failed,timeout,Pipeline timed out after 900s,110,,,,,,,,,900.4
