run_at_utc,week,agency_folder,agency_id,status,failure_stage,failure_reason,gold_row_count,extracted_row_count,zero_rows,row_count_match,title_match_rate,dollar_total_gold,dollar_total_extracted,dollar_pct_error,dollar_blowup,elapsed_seconds
20260522T0146Z,w1726,2026 03 12 - sbtnj.net_cip_2025-2030,sbtnj.net_cip_2025-2030,ok,,,19,18,no,no,0.947,39214401.0,37945000.0,0.0324,no,127.7
20260522T0149Z,w1726,2026 03 23 - westerville.org_cip_2025-2029,westerville.org_cip_2025-2029,ok,,,188,1,no,no,0.0,62764700.0,4030509865.0,63.2162,no,186.2
20260522T0152Z,w1726,2026 03 31 - cityofrockledge.org_cip_2026-2030,cityofrockledge.org_cip_2026-2030,ok,,,56,24,no,no,0.179,82817259.0,1527272916.0,17.4415,no,88.4
20260522T0153Z,w1726,2026 04 02 - kinggeorgecountyva.gov_cip_2026-2026,kinggeorgecountyva.gov_cip_2026-2026,ok,,,10,10,no,yes,0.2,3452903.0,3452903.0,0.0,no,63.3
20260522T0154Z,w1726,2026 04 04 - fmwd.com_cip_2026-2045,fmwd.com_cip_2026-2045,ok,,,53,99,no,no,0.943,35631749.0,496862548693786.0,13944376.2096,yes,95.1
20260522T0156Z,w1726,2026 04 04 - galvestontx.gov_cip_2026-2030,galvestontx.gov_cip_2026-2030,ok,,,140,40,no,no,0.157,303792277.0,336368512.0,0.1072,no,275.5
20260522T0201Z,w1726,2026 04 05 - co.lancaster.pa.us_cip_2026-2026,co.lancaster.pa.us_cip_2026-2026,ok,,,12,12,no,yes,0.167,4209624.0,12602023.0,1.9936,no,125.1
20260522T0203Z,w1726,2026 04 08 - saw.usace.army.mil_cip_2026-2029,saw.usace.army.mil_cip_2026-2029,ok,,,21,21,no,yes,1.0,340500000.0,589000000.0,0.7298,no,83.7
20260522T0204Z,w1726,2026 04 09 - jurupavalley.org_cip_2026-2030,jurupavalley.org_cip_2026-2030,ok,,,62,34,no,no,0.548,382841676.0,8.500014691802232e+20,2220242785636.1187,yes,103.8
20260522T0206Z,w1726,2026 04 09 - lbwl.com_cip_2026-2031,lbwl.com_cip_2026-2031,ok,,,29,2,no,no,0.0,719150430.0,756177942.0,0.0515,no,61.1
20260522T0207Z,w1726,2026 04 09 - marysvillewa.gov_tip_2026-2031,marysvillewa.gov_tip_2026-2031,ok,,,60,64,no,no,1.0,372914000.0,497914000.0,0.3352,no,259.2
20260522T0211Z,w1726,2026 04 13 - rctc.org_tip_2026-2031,rctc.org_tip_2026-2031,ok,,,8,43,no,no,0.0,0.0,1845670000.0,,,131.3
20260522T0213Z,w1726,2026 04 13 - rdu.com_cip_2027-2027,rdu.com_cip_2027-2027,ok,,,37,36,no,yes,0.946,2439625000.0,2564457641.0,0.0512,no,102.9
20260522T0215Z,w1726,2026 04 14 - akronohio.gov_cip_2026-2026,akronohio.gov_cip_2026-2026,ok,,,171,186,no,no,0.819,341909940.0,38170409.0,0.8884,no,145.6
20260522T0218Z,w1726,2026 04 14 - hamiltonnj.com_cip_2026-2031,hamiltonnj.com_cip_2026-2031,ok,,,11,3,no,no,0.0,7031023.0,1492977.0,0.7877,no,98.0
20260522T0219Z,w1726,2026 04 14 - ky.gov_cip_2026-2026,ky.gov_cip_2026-2026,ok,,,35,4,no,no,0.114,81322933.0,17804000.0,0.7811,no,40.6
20260522T0220Z,w1726,2026 04 15 - greenwood.in.gov_cip_2025-2029,greenwood.in.gov_cip_2025-2029,ok,,,25,0,yes,no,0.0,0.0,0,,,71.3
20260522T0221Z,w1726,2026 04 16 - lrd.usace.army.mil.pgh_cip_2026-2026,lrd.usace.army.mil.pgh_cip_2026-2026,ok,,,18,17,no,no,0.944,0.0,56250000.0,,,89.5
20260522T0223Z,w1726,2026 04 16 - mvs.usace.army.mil_cip_2026-2027,mvs.usace.army.mil_cip_2026-2027,ok,,,16,16,no,yes,0.0,595250000.0,0.0,1.0,no,81.4
20260522T0224Z,w1726,2026 04 16 - nap.usace.army.mil_cip_2026-2026,nap.usace.army.mil_cip_2026-2026,ok,,,35,35,no,yes,0.0,717250000.0,717250000.0,0.0,no,80.8
20260522T0226Z,w1726,2026 04 16 - utah.gov_dnr_cip_2027-2031,utah.gov_dnr_cip_2027-2031,ok,,,36,304,no,no,0.083,1092788957.0,1.1333513047055325e+17,103711817.9606,yes,830.8
20260522T0239Z,w1726,2026 04 19 - henrico.us_cip_2027-2031,henrico.us_cip_2027-2031,ok,,,114,114,no,yes,0.982,687477914.0,3.390522884272201e+37,4.9318280852760614e+28,yes,255.6
20260522T0244Z,w1726,2026 04 19 - jamescitycountyva.gov_cip_2026-2030,jamescitycountyva.gov_cip_2026-2030,ok,,,143,4,no,no,0.0,454853800.0,9.569004264640381e+41,2.1037538357688518e+33,yes,216.8
20260522T0247Z,w1726,2026 04 19 - roundrocktexas.gov_cip_2026-2030,roundrocktexas.gov_cip_2026-2030,ok,,,178,26,no,no,0.0,451802600.0,11363125.0,0.9748,no,327.8
20260522T0253Z,w1726,2026 04 20 - cityofglendora.org_cip_2026-2030,cityofglendora.org_cip_2026-2030,ok,,,68,44,no,no,0.971,108328533.0,108328533.0,0.0,no,197.9
20260522T0256Z,w1726,2026 04 20 - co.morris.nj.us_cip_2026-2031,co.morris.nj.us_cip_2026-2031,ok,,,36,36,no,yes,0.667,262909092.0,84335816.0,0.6792,no,103.5
20260522T0258Z,w1726,2026 04 20 - emwd.org_cip_2026-2030,emwd.org_cip_2026-2030,ok,,,20,147,no,no,1.0,167326600.0,2.3061830853943293e+24,1.3782525225483152e+16,yes,122.0
20260522T0300Z,w1726,2026 04 21 - apgov.us_cip_2026-2030,apgov.us_cip_2026-2030,ok,,,111,9,no,no,0.081,0.0,115550000.0,,,220.6
20260522T0304Z,w1726,2026 04 21 - blm.gov_cip_2026-2026,blm.gov_cip_2026-2026,ok,,,45,80,no,no,0.511,0.0,16267000.0,,,157.4
20260522T0306Z,w1726,2026 04 21 - caddo.org_cip_2026-2026,caddo.org_cip_2026-2026,ok,,,130,3,no,no,0.0,0.0,777499911.0,,,141.2
20260522T0309Z,w1726,2026 04 21 - charleston-sc.gov_cip_2026-2030,charleston-sc.gov_cip_2026-2030,ok,,,63,63,no,yes,1.0,860548859.0,1630034225.0,0.8942,no,94.3
20260522T0310Z,w1726,2026 04 21 - cityhs.net_cip_2027-2031,cityhs.net_cip_2027-2031,ok,,,199,9,no,no,0.0,0.0,384726670.0,,,203.7
20260522T0314Z,w1726,2026 04 21 - flower-mound.com_cip_2026-2035,flower-mound.com_cip_2026-2035,ok,,,292,319,no,no,0.75,1340264202.0,329703306.26,0.754,no,601.6
20260522T0324Z,w1726,2026 04 21 - fortbendcountytx.gov_cip_2026-2026,fortbendcountytx.gov_cip_2026-2026,ok,,,132,20510,no,no,0.053,58685695.0,4.148689102044002e+27,7.069336236103197e+19,yes,843.3
20260522T0338Z,w1726,2026 04 21 - townofjohnstown.com_cip_2026-2035,townofjohnstown.com_cip_2026-2035,ok,,,99,0,yes,no,0.0,419261842.0,0,1.0,no,114.3
20260522T0340Z,w1726,2026 04 22 - bia.gov_cip_2026-2030,bia.gov_cip_2026-2030,ok,,,72,65,no,no,0.292,0.0,33683562400.0,,,208.0
20260522T0343Z,w1726,2026 04 22 - ci.brooklyn-center.mn.us_cip_2026-2035,ci.brooklyn-center.mn.us_cip_2026-2035,ok,,,118,65,no,no,0.415,235805703.0,35406034.0,0.8499,no,96.3
20260522T0345Z,w1726,2026 04 22 - co.scott.mn.us_cip_2026-2035,co.scott.mn.us_cip_2026-2035,ok,,,133,47,no,no,0.353,372436004.0,1.500000150000065e+28,4.027537976699119e+19,yes,337.0
20260522T0351Z,w1726,2026 04 22 - fallriverma.org_cip_2027-2031,fallriverma.org_cip_2027-2031,ok,,,121,54,no,no,0.521,431761888.0,103980318.0,0.7592,no,121.2
20260522T0353Z,w1726,2026 04 22 - grundyco.org_cip_2026-2030,grundyco.org_cip_2026-2030,ok,,,83,259,no,no,1.0,20801500.0,407184920.0,18.5748,no,106.1
20260522T0355Z,w1726,2026 04 22 - lcps.org_cip_2025-2030,lcps.org_cip_2025-2030,ok,,,26,51,no,no,0.731,78340.0,2928594455.0,37382.1306,no,147.6
20260522T0357Z,w1726,2026 04 22 - leegov.com_dot_cip_2026-2035,leegov.com_dot_cip_2026-2035,ok,,,18,17,no,no,0.389,5870000.0,125821989.0,20.4348,no,113.8
20260522T0359Z,w1726,2026 04 22 - lrd.usace.army.mil.nsh_cip_2026-2028,lrd.usace.army.mil.nsh_cip_2026-2028,ok,,,52,52,no,yes,0.038,755750000.0,0.0,1.0,no,126.1
20260522T0401Z,w1726,2026 04 22 - portlandmaine.gov_cip_2026-2030,portlandmaine.gov_cip_2026-2030,ok,,,330,0,yes,no,0.0,0.0,0,,,234.6
20260522T0405Z,w1726,2026 04 22 - scwd.org_cip_2026-2030,scwd.org_cip_2026-2030,ok,,,82,38,no,no,0.098,343836342.0,91.25,1.0,no,134.6
