run_at_utc,week,agency_folder,agency_id,status,failure_stage,failure_reason,gold_row_count,extracted_row_count,zero_rows,row_count_match,title_match_rate,dollar_total_gold,dollar_total_extracted,dollar_pct_error,dollar_blowup,elapsed_seconds
20260522T0952Z,w1626,2026 02 26 - casscountynd.gov_cip_2026-2030,casscountynd.gov_cip_2026-2030,failed,timeout,Pipeline timed out after 900s,99,,,,,,,,,900.4
20260522T1007Z,w1626,2026 02 28 - stancounty.com_cip_2025-2029,stancounty.com_cip_2025-2029,ok,,,231,32,no,no,0.0,2025366338.0,81437079.0,0.9598,no,132.5
20260522T1010Z,w1626,2026 03 07 - lcwsa.net_cip_2026-2030,lcwsa.net_cip_2026-2030,ok,,,197,210,no,no,0.0,14333776.0,12194305.0,0.1493,no,115.1
20260522T1012Z,w1626,2026 04 04 - flyabe.com_cip_2024-2028,flyabe.com_cip_2024-2028,ok,,,77,23,no,no,0.039,85841913.0,0.0,1.0,no,107.1
20260522T1013Z,w1626,2026 04 07 - cityofplacerville.org_cip_2026-2026,cityofplacerville.org_cip_2026-2026,ok,,,10,8,no,no,0.8,0.0,383720.0,,,95.1
20260522T1015Z,w1626,2026 04 07 - co.marathon.wi.us_cip_2026-2030_proposed,co.marathon.wi.us_cip_2026-2030_proposed,ok,,,137,202,no,no,0.788,0.0,505673648.0,,,254.1
20260522T1019Z,w1626,2026 04 09 - midpeninsulawater.org_cip_2026-2026,midpeninsulawater.org_cip_2026-2026,ok,,,13,8,no,no,0.0,21293806.0,84265243.0,2.9573,no,100.5
