run_at_utc,week,agency_folder,agency_id,status,failure_stage,failure_reason,gold_row_count,extracted_row_count,zero_rows,row_count_match,title_match_rate,dollar_total_gold,dollar_total_extracted,dollar_pct_error,dollar_blowup,elapsed_seconds
20260522T0146Z,w1926,2026 03 08 - madera.gov_cip_2026-2030,madera.gov_cip_2026-2030,ok,,,134,895,no,no,0.03,251303293.0,11014959808.293,42.8313,no,223.3
20260522T0150Z,w1926,2026 03 27 - cloquetmn.gov_cip_2025-2029,cloquetmn.gov_cip_2025-2029,failed,timeout,Pipeline timed out after 900s,57,,,,,,,,,900.0
20260522T0205Z,w1926,2026 03 27 - mvr.usace.army.mil_cip_2026-2026,mvr.usace.army.mil_cip_2026-2026,failed,timeout,Pipeline timed out after 900s,22,,,,,,,,,900.0
20260522T0220Z,w1926,2026 03 27 - swt.usace.army.mil_cip_2026-2029,swt.usace.army.mil_cip_2026-2029,ok,,,45,43,no,yes,0.444,750750000.0,1197000500.0,0.5944,no,82.8
20260522T0222Z,w1926,2026 03 30 - co.mclennan.tx.us_cip_2026-2026,co.mclennan.tx.us_cip_2026-2026,ok,,,57,22,no,no,0.509,1547696.0,138.0,0.9999,no,106.3
20260522T0223Z,w1926,2026 04 23 - whiteplainsny.gov_cip_2026-2032,whiteplainsny.gov_cip_2026-2032,ok,,,122,702,no,no,0.336,220952148.0,35881045319152.9,162391.8332,no,150.8
20260522T0226Z,w1926,2026 04 28 - sam.usace.army.mil_cip_2025-2029,sam.usace.army.mil_cip_2025-2029,ok,,,235,476,no,no,0.566,10632654511.0,3.1181353921289156e+16,2932601.944,yes,134.7
20260522T0228Z,w1926,2026 05 04 - maryland.gov_dnr_cip_2026-2030,maryland.gov_dnr_cip_2026-2030,ok,,,36,87,no,no,0.111,1119156000.0,4341606000.0,2.8794,no,136.9
20260522T0231Z,w1926,2026 05 04 - springfield-ma.gov_cip_2027-2031,springfield-ma.gov_cip_2027-2031,ok,,,361,1,no,no,0.0,1383439319.0,0.0,1.0,no,99.6
20260522T0232Z,w1926,2026 05 05 - co.ocean.nj.us_cip_2026-2031,co.ocean.nj.us_cip_2026-2031,ok,,,60,296,no,no,0.9,428155032.0,165332795.866,0.6138,no,170.8
20260522T0235Z,w1926,2026 05 05 - metrarail.com_cip_2026-2030,metrarail.com_cip_2026-2030,ok,,,142,26,no,no,0.254,2121842153.0,95625000.0,0.9549,no,103.2
20260522T0237Z,w1926,2026 05 06 - toledo.oh.gov_cip_2026-2026_proposed,toledo.oh.gov_cip_2026-2026_proposed,ok,,,24,710,no,no,0.417,41447820.0,36324540.0,0.1236,no,228.8
20260522T0241Z,w1926,2026 05 06 - wmua.info_cip_2026-2031,wmua.info_cip_2026-2031,ok,,,8,7,no,no,0.0,92480000.0,0.0,1.0,no,119.6
20260522T0243Z,w1926,2026 05 07 - ci.camden.nj.us_cip_2026-2031,ci.camden.nj.us_cip_2026-2031,ok,,,12,31,no,no,0.0,604332810.0,0.0,1.0,no,120.6
20260522T0245Z,w1926,2026 05 07 - newwater.us_cip_2026-2030,newwater.us_cip_2026-2030,ok,,,66,4,no,no,0.0,293837500.0,0.0,1.0,no,218.0
20260522T0248Z,w1926,2026 05 07 - wwvmpo.org_tip_2026-2031,wwvmpo.org_tip_2026-2031,ok,,,44,44,no,yes,0.0,415299842.0,415299842.0,0.0,no,167.3
20260522T0251Z,w1926,2026 05 08 - acwwa.com_cip_2026-2026,acwwa.com_cip_2026-2026,ok,,,41,54,no,no,1.0,34122600.0,133107760.0,2.9009,no,86.8
20260522T0253Z,w1926,2026 05 08 - co.burlington.nj.us_cip_2025-2030,co.burlington.nj.us_cip_2025-2030,ok,,,19,0,yes,no,0.0,482715845.0,0,1.0,no,106.2
20260522T0255Z,w1926,2026 05 08 - coralsprings.org_cip_2026-2031,coralsprings.org_cip_2026-2031,ok,,,158,164,no,yes,0.0,0.0,20206189.27,,,499.5
20260522T0303Z,w1926,2026 05 08 - westlinnoregon.gov_cip_2026-2031,westlinnoregon.gov_cip_2026-2031,ok,,,75,40,no,no,0.667,135858000.0,147410580.0,0.085,no,147.1
20260522T0305Z,w1926,2026 05 08 - wheaton.il.us_cip_2026-2030,wheaton.il.us_cip_2026-2030,ok,,,141,102,no,no,0.617,26320252.0,1881497304.0,70.4848,no,527.0
20260522T0314Z,w1926,2026 05 08 - wylietexas.gov_cip_2026-2030,wylietexas.gov_cip_2026-2030,ok,,,32,3,no,no,0.0,155566469.0,39615000.0,0.7454,no,145.9
20260522T0317Z,w1926,2026 05 09 - eaglecounty.us_cip_2026-2026,eaglecounty.us_cip_2026-2026,ok,,,38,76,no,no,0.974,34810668.0,34810668.0,0.0,no,145.5
